lng,lat
-0.158242,51.513187
-0.134337,51.509212
-0.187528,51.516071
-0.132401,51.507203
-0.187535,51.515891
-0.173805,51.524041
-0.157253,51.498423
-0.124012,51.500954
-0.130456,51.487838
-0.142406,51.502146
-0.164819,51.500161
-0.163109,51.521176
-0.139884,51.521620
-0.133851,51.485824
-0.136940,51.508983
-0.152892,51.502941
-0.118982,51.514632
-0.174987,51.523340
-0.208592,51.526556
-0.144932,51.496701
-0.124008,51.501044
-0.174621,51.500044
-0.128617,51.511639
-0.124119,51.501855
-0.125762,51.496935
-0.136144,51.503755
-0.132642,51.511883
-0.128900,51.501212
-0.176723,51.501515
-0.159771,51.521754
-0.154828,51.526352
-0.151112,51.507769
-0.159229,51.513742
-0.161573,51.512789
-0.138656,51.505773
-0.157177,51.511012
-0.172674,51.519887
-0.150141,51.503257
-0.119119,51.511307
-0.156501,51.509922
-0.142492,51.496482
-0.125134,51.494677
-0.173006,51.533201
-0.193421,51.512835
-0.151616,51.505978
-0.161382,51.513955
-0.127047,51.507747
-0.153152,51.500068
-0.193617,51.515176
-0.158677,51.502403
-0.151877,51.503105
-0.155400,51.537152
-0.142896,51.507819
-0.160820,51.513587
-0.129703,51.488635
-0.192025,51.515331
-0.180095,51.510920
-0.168431,51.532230
-0.182865,51.517348
-0.156665,51.502281
-0.191390,51.520447
-0.171007,51.529123
-0.175264,51.520017
-0.176734,51.526515
-0.182679,51.536499
-0.132693,51.507117
-0.156871,51.522158
-0.151461,51.516947
-0.165900,51.519871
-0.149815,51.500644
-0.141772,51.514186
-0.139703,51.511905
-0.124130,51.501585
-0.197944,51.518749
-0.146942,51.514627
-0.161716,51.516389
-0.180999,51.528020
-0.183449,51.517177
-0.161864,51.516301
-0.203462,51.525039
-0.165079,51.518779
-0.174843,51.523338
-0.128154,51.494815
-0.163173,51.501664
-0.147378,51.493232
-0.119263,51.511309
-0.173003,51.533291
-0.124618,51.510765
-0.153385,51.522822
-0.153036,51.502943
-0.143555,51.519969
-0.156639,51.517208
-0.146798,51.514625
-0.187909,51.513739
-0.176674,51.513565
-0.128466,51.511816
-0.148836,51.499910
-0.154977,51.522667
-0.178915,51.518815
-0.197544,51.525218
-0.127047,51.507747
-0.163311,51.519741
-0.154953,51.508998
-0.162127,51.516935
-0.185329,51.531504
-0.178811,51.499749
-0.139887,51.489696
-0.175288,51.515791
-0.180535,51.517941
-0.189653,51.535168
-0.131291,51.513210
-0.216035,51.527928
-0.140424,51.515423
-0.140991,51.519209
-0.158844,51.512567
-0.172883,51.521869
-0.190363,51.510000
-0.127002,51.494797
-0.171342,51.520766
-0.129411,51.488720
-0.162834,51.528006
-0.152589,51.513997
-0.216038,51.527838
-0.143621,51.546678
-0.138792,51.527178
-0.115944,51.528881
-0.153398,51.543865
-0.121113,51.518893
-0.183418,51.550538
-0.138643,51.534369
-0.141479,51.539090
-0.132680,51.535623
-0.110464,51.521959
-0.142646,51.538749
-0.129806,51.514265
-0.146218,51.528914
-0.194347,51.547739
-0.158738,51.543769
-0.129398,51.527748
-0.207083,51.550273
-0.115948,51.528791
-0.134132,51.535377
-0.147646,51.539907
-0.136223,51.533612
-0.131001,51.527324
-0.190552,51.556134
-0.191909,51.536461
-0.137405,51.532911
-0.138714,51.536169
-0.191204,51.554255
-0.141748,51.546648
-0.122508,51.530515
-0.171818,51.552067
-0.134549,51.518118
-0.127932,51.528354
-0.126901,51.528877
-0.164813,51.543325
-0.193745,51.555643
-0.168345,51.537984
-0.126723,51.515655
-0.108474,51.517790
-0.127037,51.515031
-0.123846,51.526040
-0.126576,51.529771
-0.180166,51.541675
-0.194137,51.538474
-0.138304,51.525012
-0.105921,51.520267
-0.126317,51.529047
-0.133783,51.526289
-0.137655,51.540918
-0.130442,51.516344
-0.144315,51.543811
-0.196790,51.555241
-0.124263,51.529914
-0.196685,51.554250
-0.145563,51.541493
-0.133417,51.545797
-0.198462,51.542138
-0.193859,51.538200
-0.138714,51.536169
-0.136243,51.526058
-0.145984,51.541770
-0.171865,51.540107
-0.132507,51.518715
-0.193605,51.555551
-0.144299,51.540664
-0.190789,51.553799
-0.189569,51.540922
-0.176020,51.551592
-0.145566,51.555611
-0.174891,51.543752
-0.141893,51.539547
-0.117885,51.516773
-0.155196,51.545781
-0.123440,51.525404
-0.134646,51.522796
-0.193605,51.555551
-0.133552,51.535458
-0.116249,51.518005
-0.178705,51.556580
-0.145422,51.541401
-0.179456,51.541394
-0.145844,51.527469
-0.110320,51.521956
-0.127774,51.546246
-0.123011,51.518293
-0.138293,51.525281
-0.118217,51.519206
-0.191229,51.546343
-0.120499,51.526796
-0.130845,51.517070
-0.137581,51.542716
-0.170611,51.539009
-0.202367,51.545525
-0.175973,51.549164
-0.137437,51.542713
-0.141065,51.538634
-0.122228,51.519810
-0.197063,51.559291
-0.119532,51.518777
-0.128361,51.535465
-0.122641,51.530787
-0.191273,51.548861
-0.177714,51.556115
